rx_Mbps-2g,rx_Mbps_avg3-2g,FreeTime_2.4GHz,Load_2.4GHz,rx_Mbps_avg5-2g,rx_Mbps_avg7-2g,rx_Mbps_lag1-2g,RxTime_2.4GHz,tx_Mbps_avg7-2g,rx_Mbps_lag2-2g,tx_Mbps_avg5-2g,rx_Mbps_lag3-2g,tx_pps-2g,tx_Mbps_avg3-2g,rx_pps-2g,tx_Mbps_lag1-2g,tx_Mbps_lag2-2g,tx_Mbps_lag3-2g,tx_Mbps-2g,LastDataUplinkRate,UplinkMCS,LastDataDownlinkRate,rx_Mbps,SignalStrength_avg10,VendorStats.Glitch_2.4GHz,rx_pps,ObssTime_2.4GHz,TxTime_2.4GHz,SignalStrength_avg7,SignalStrength_avg5,UplinkShortGuard
0.233,0.338,54.0,46.0,0.291,1.735,0.39,2.0,23.713,0.391,31.804,0.203,1499.2,43.14,104.0,52.394,50.88,14.091,26.146,286700.0,11.0,258000.0,0.092,-32.9,783.0,102.2,5.0,31.0,-32.86,-33.0,1.0
3.59,1.236,81.0,19.0,0.756,0.558,0.078,5.0,8.443,0.041,7.887,0.018,441.4,9.858,342.6,15.111,4.579,1.495,9.883,286700.0,11.0,243700.0,3.607,-29.2,1357.0,353.2,4.0,4.0,-29.29,-29.4,800.0
57.171,40.551,28.0,72.0,28.197,25.284,31.037,34.0,11.778,33.444,14.008,9.151,1462.4,8.186,4713.0,5.647,6.145,19.987,12.766,72200.0,7.0,72200.0,0.161,-38.0,130.0,182.8,2.0,32.0,-37.86,-38.2,1.0
27.965,13.837,25.0,75.0,27.825,19.964,3.896,49.0,14.706,9.65,11.725,62.959,365.2,18.388,50.0,25.401,24.783,1.304,4.98,72200.0,7.0,72200.0,31.022,-44.4,434.0,2511.2,4.0,17.0,-44.0,-44.0,1.0
15.517,13.017,41.0,59.0,10.872,14.383,15.167,29.0,11.474,8.366,12.896,8.654,110.0,5.411,20.4,4.451,11.259,16.507,0.524,286700.0,11.0,243700.0,0.02,-29.2,1266.0,15.0,11.0,6.0,-29.14,-29.4,1.0
26.412,21.955,44.0,56.0,16.28,14.198,35.074,38.0,15.316,4.378,16.9,3.833,227.4,12.524,445.4,0.273,36.681,42.897,0.617,24000.0,0.0,78000.0,4.199,-40.8,621.0,348.0,9.0,6.0,-40.43,-40.2,0.0
22.477,25.276,60.0,40.0,15.482,11.665,37.396,2.0,27.177,15.954,27.701,1.094,925.0,18.471,1977.4,9.761,32.058,53.236,13.595,6000.0,0.0,96100.0,0.082,-50.0,602.0,79.4,5.0,25.0,-51.86,-50.0,0.0
9.249,10.475,71.0,29.0,9.644,9.713,10.515,1.0,2.518,11.661,1.765,10.975,487.2,2.833,793.0,2.54,0.482,0.288,5.478,72200.0,7.0,72200.0,0.105,-46.6,1316.0,120.4,4.0,14.0,-47.0,-47.2,1.0
0.091,0.093,71.0,29.0,0.09,0.078,0.071,2.0,9.338,0.117,11.475,0.121,434.0,10.719,97.6,7.336,14.967,19.68,9.853,219300.0,10.0,229400.0,0.091,-39.1,1082.0,96.8,5.0,16.0,-39.29,-39.4,1.0
0.023,0.054,86.0,14.0,0.765,1.103,0.056,1.0,8.348,0.084,7.057,0.053,106.6,9.013,24.2,8.174,16.527,8.193,2.338,286700.0,11.0,286700.0,0.03,-51.2,1035.0,27.8,4.0,5.0,-51.14,-51.0,800.0
