FreeTime_2.4GHz,IntTime_2.4GHz,RxTime_2.4GHz,TxTime_2.4GHz,VendorStats.Glitch_2.4GHz,tx_Mbps-2g,rx_Mbps-2g,tx_err_ps-2g,tx_ber-2g,rx_pps-2g,tx_pps-2g,tx_Mbps_lag1-2g,rx_Mbps_lag1-2g,tx_Mbps_lag2-2g,rx_Mbps_lag2-2g,Noise_lag2-2g,tx_Mbps_lag3-2g,rx_Mbps_lag3-2g,Noise_lag3-2g,tx_Mbps_avg3-2g,rx_Mbps_avg3-2g,Noise_avg3-2g,tx_Mbps_avg5-2g,rx_Mbps_avg5-2g,Noise_avg5-2g,tx_Mbps_avg7-2g,rx_Mbps_avg7-2g,Noise_avg7-2g,DownlinkMCS,DownlinkShortGuard,Inactive,Noise,SignalNoiseRatio,LastDataDownlinkRate,LastDataUplinkRate,UplinkMCS,UplinkShortGuard,tx_Mbps,rx_Mbps,rx_pps,tx_err_ps,SignalStrength_avg7,SignalStrength_avg10
57.0,11.0,24.0,8.0,724.0,3.48,27.99,0.0,0.0,1125.0,637.2,16.45,11.792,14.686,21.325,-94.0,0.346,17.888,-94.0,11.539,20.369,-94.0,7.331,20.157,-94.2,11.835,24.169,-93.71,9.0,400.0,0.0,-95.0,38.0,96100.0,65000.0,6.0,400.0,0.357,13.882,1131.0,0.0,-57.14,-57.1
17.0,19.0,2.0,62.0,1250.0,21.894,0.261,0.0,0.0,13.8,1755.2,14.858,3.929,0.085,19.069,-83.0,2.276,20.668,-83.0,12.279,7.753,-83.33,9.678,10.529,-83.0,12.101,8.714,-83.0,6.0,1.0,0.0,-83.0,36.0,65000.0,72200.0,7.0,1.0,21.62,0.257,295.2,0.0,-47.0,-47.2
58.0,9.0,11.0,21.0,332.0,23.953,5.374,0.0,0.0,424.4,1777.4,28.021,1.885,20.85,5.362,-95.0,27.275,5.342,-95.0,24.275,4.207,-95.0,21.71,7.259,-95.0,19.755,7.778,-95.29,9.0,1.0,0.0,-95.0,45.0,96100.0,24000.0,0.0,0.0,0.106,2.461,211.8,0.0,-54.57,-55.6
33.0,15.0,11.0,41.0,1021.0,12.242,23.913,0.0,0.0,2071.8,1130.6,5.767,26.439,1.417,36.691,-89.0,0.33,47.521,-90.0,6.475,29.014,-90.0,4.423,32.168,-90.2,4.937,28.36,-89.86,11.0,1.0,1.0,-89.0,50.0,286700.0,1000.0,0.0,0.0,0.071,14.363,1040.6,0.0,-38.43,-38.0
42.0,13.0,16.0,27.0,741.0,14.437,30.71,0.0,0.0,2610.6,1214.2,12.169,29.692,5.069,21.155,-91.0,4.396,25.537,-90.0,10.558,27.186,-91.0,7.258,29.428,-90.6,6.091,26.69,-90.57,9.0,1.0,0.0,-92.0,36.0,96100.0,96100.0,9.0,1.0,2.906,0.056,58.8,0.0,-56.57,-56.6
47.0,11.0,24.0,18.0,502.0,13.048,11.821,0.0,0.0,1034.8,1075.4,25.043,12.263,19.641,9.479,-96.0,15.776,11.725,-96.0,19.244,11.188,-95.33,16.87,12.435,-95.6,13.105,15.144,-95.71,7.0,1.0,0.0,-95.0,56.0,65000.0,72200.0,7.0,1.0,4.793,0.085,93.667,0.0,-39.0,-39.0
39.0,16.0,41.0,5.0,872.0,9.876,54.398,0.0,0.0,4622.2,488.4,80.066,0.35,61.084,10.168,-84.0,0.072,71.732,-83.0,50.342,21.639,-84.0,30.989,39.074,-83.6,28.311,27.95,-83.86,11.0,1.0,0.0,-84.0,35.0,286700.0,206500.0,8.0,1.0,4.68,58.769,4192.4,0.0,-48.86,-48.9
54.0,14.0,2.0,31.0,783.0,26.146,0.233,0.0,0.0,104.0,1499.2,52.394,0.39,50.88,0.391,-90.0,14.091,0.203,-91.0,43.14,0.338,-90.33,31.804,0.291,-90.6,23.713,1.735,-90.71,10.0,1.0,0.0,-92.0,59.0,258000.0,286700.0,11.0,1.0,17.633,0.092,102.2,0.0,-32.86,-32.9
81.0,10.0,5.0,4.0,1357.0,9.883,3.59,0.0,0.0,342.6,441.4,15.111,0.078,4.579,0.041,-91.0,1.495,0.018,-90.0,9.858,1.236,-90.67,7.887,0.756,-90.4,8.443,0.558,-91.14,10.0,1600.0,0.0,-91.0,62.0,243700.0,286700.0,11.0,800.0,11.471,3.607,353.2,0.0,-29.29,-29.2
28.0,6.0,34.0,32.0,130.0,12.766,57.171,0.0,0.0,4713.0,1462.4,5.647,31.037,6.145,33.444,-94.0,19.987,9.151,-93.0,8.186,40.551,-95.0,14.008,28.197,-94.4,11.778,25.284,-94.86,7.0,1.0,0.0,-95.0,58.0,72200.0,72200.0,7.0,1.0,11.661,0.161,182.8,0.0,-37.86,-38.0
25.0,10.0,49.0,17.0,434.0,4.98,27.965,1.2,2.4096385542168674e-07,50.0,365.2,25.401,3.896,24.783,9.65,-87.0,1.304,62.959,-87.0,18.388,13.837,-87.0,11.725,27.825,-87.2,14.706,19.964,-87.29,7.0,1.0,0.0,-87.0,43.0,72200.0,72200.0,7.0,1.0,0.119,31.022,2511.2,0.0,-44.0,-44.4
41.0,24.0,29.0,6.0,1266.0,0.524,15.517,0.0,0.0,20.4,110.0,4.451,15.167,11.259,8.366,-86.0,16.507,8.654,-86.0,5.411,13.017,-84.67,12.896,10.872,-85.0,11.474,14.383,-85.0,10.0,1.0,0.0,-84.0,55.0,243700.0,286700.0,11.0,1.0,0.437,0.02,15.0,0.0,-29.14,-29.2
44.0,15.0,38.0,6.0,621.0,0.617,26.412,0.0,0.0,445.4,227.4,0.273,35.074,36.681,4.378,-88.0,42.897,3.833,-85.0,12.524,21.955,-87.33,16.9,16.28,-86.4,15.316,14.198,-85.57,8.0,1.0,0.0,-88.0,50.0,78000.0,24000.0,0.0,0.0,0.062,4.199,348.0,0.0,-40.43,-40.8
60.0,12.0,2.0,25.0,602.0,13.595,22.477,0.0,0.0,1977.4,925.0,9.761,37.396,32.058,15.954,-96.0,53.236,1.094,-96.0,18.471,25.276,-95.0,27.701,15.482,-95.6,27.177,11.665,-95.86,9.0,1.0,0.0,-94.0,50.0,96100.0,6000.0,0.0,0.0,2.752,0.082,79.4,0.0,-51.86,-50.0
71.0,16.0,1.0,14.0,1316.0,5.478,9.249,1.8,3.285870755750274e-07,793.0,487.2,2.54,10.515,0.482,11.661,-91.0,0.288,10.975,-90.0,2.833,10.475,-91.0,1.765,9.644,-91.0,2.518,9.713,-91.0,7.0,1.0,0.0,-91.0,45.0,72200.0,72200.0,7.0,1.0,5.449,0.105,120.4,0.0,-47.0,-46.6
71.0,12.0,2.0,16.0,1082.0,9.853,0.091,0.0,0.0,97.6,434.0,7.336,0.071,14.967,0.117,-90.0,19.68,0.121,-90.0,10.719,0.093,-90.0,11.475,0.09,-90.2,9.338,0.078,-90.29,9.0,1.0,0.0,-90.0,50.0,229400.0,219300.0,10.0,1.0,9.825,0.091,96.8,0.0,-39.29,-39.1
86.0,9.0,1.0,5.0,1035.0,2.338,0.023,0.0,0.0,24.2,106.6,8.174,0.056,16.527,0.084,-91.0,8.193,0.053,-91.0,9.013,0.054,-91.67,7.057,0.765,-91.6,8.348,1.103,-91.57,11.0,800.0,0.0,-90.0,39.0,286700.0,286700.0,11.0,800.0,2.294,0.03,27.8,0.0,-51.14,-51.2
55.0,18.0,2.0,25.0,974.0,11.992,0.175,0.0,0.0,124.0,726.2,12.012,1.95,0.214,8.438,-87.0,0.274,18.382,-87.0,8.073,3.521,-86.0,5.061,7.187,-86.4,8.038,8.265,-86.43,7.0,1.0,0.0,-86.0,53.0,72200.0,72200.0,7.0,1.0,3.919,0.059,67.6,0.0,-32.43,-32.5
41.0,12.0,39.0,11.0,277.0,17.39,19.585,0.0,0.0,563.4,1377.6,22.243,15.365,6.983,11.99,-91.0,3.85,11.457,-93.0,15.539,15.647,-92.67,14.78,12.055,-93.0,15.134,13.325,-93.86,9.0,1.0,0.0,-95.0,35.0,96100.0,96100.0,9.0,1.0,13.908,1.933,515.0,0.0,-52.71,-53.9
35.0,24.0,4.0,36.0,1434.0,17.379,6.204,0.0,0.0,507.8,1443.8,22.604,3.498,21.996,0.205,-83.0,7.596,11.625,-84.0,20.66,3.302,-84.33,15.428,6.877,-84.2,13.502,5.367,-84.43,7.0,1.0,0.0,-85.0,38.0,65000.0,72200.0,7.0,1.0,17.191,0.235,270.0,0.0,-47.0,-47.0
52.0,30.0,1.0,12.0,658.0,8.838,0.124,8.2,9.278117221090743e-07,32.6,639.0,10.022,0.163,12.202,0.167,-86.0,8.904,0.107,-85.0,10.354,0.151,-86.33,13.897,0.172,-85.6,13.911,1.221,-85.86,7.0,1.0,0.0,-87.0,37.0,72200.0,72200.0,7.0,1.0,6.456,0.096,108.6,8.2,-49.71,-49.8
90.0,5.0,3.0,4.0,506.0,0.22,14.028,0.0,0.0,1173.8,167.8,0.837,4.864,3.456,3.855,-95.0,4.203,0.099,-96.0,1.504,7.582,-95.0,2.025,6.118,-95.2,2.08,8.471,-95.14,9.0,1.0,1.0,-95.0,39.0,96100.0,96100.0,9.0,1.0,0.132,6.583,542.4,0.0,-56.14,-57.8
49.0,22.0,20.0,9.0,1409.0,1.735,10.448,0.0,0.0,290.667,252.167,12.243,0.169,12.836,0.168,-86.0,10.54,11.567,-89.0,8.938,3.595,-87.0,11.832,7.18,-87.4,10.427,8.062,-87.29,9.0,1.0,1.0,-89.0,38.0,96100.0,24000.0,0.0,0.0,1.873,0.037,40.2,0.0,-50.86,-50.7
22.0,8.0,44.0,25.0,564.0,17.558,29.139,3.2,1.8225310399817747e-07,240.4,1257.0,17.015,33.065,13.688,14.939,-90.0,12.234,0.277,-87.0,16.087,25.714,-88.67,14.018,17.949,-88.2,11.998,17.759,-88.0,9.0,1.0,0.0,-88.0,52.0,229400.0,286700.0,11.0,1.0,6.977,0.069,72.4,1.2,-36.43,-36.3
51.0,26.0,17.0,5.0,1107.0,0.136,9.302,0.0,0.0,487.4,123.0,0.279,17.813,0.145,12.868,-86.0,5.752,13.865,-87.0,0.187,13.328,-85.0,4.685,12.008,-85.4,4.671,11.888,-85.29,10.0,1.0,1.0,-84.0,41.0,258000.0,149700.0,6.0,1.0,0.024,5.601,399.6,0.0,-39.43,-39.4
73.0,24.0,1.0,4.0,1141.0,0.483,15.668,0.0,0.0,818.8,233.8,1.415,14.749,1.43,16.559,-83.0,2.165,6.419,-83.0,1.109,15.659,-82.67,2.328,12.281,-82.8,6.913,9.371,-83.0,7.0,1.0,0.0,-83.0,36.0,72200.0,43300.0,4.0,1.0,0.294,7.741,631.4,0.0,-47.0,-46.9
3.0,7.0,67.0,24.0,342.0,19.96,44.908,0.0,0.0,634.6,2963.0,16.294,47.091,1.96,62.488,-93.0,2.898,56.573,-94.0,12.738,51.496,-93.67,8.799,53.395,-94.0,16.283,41.902,-94.57,7.0,1.0,0.0,-94.0,57.0,72200.0,72200.0,7.0,1.0,1.491,42.097,3394.2,0.0,-37.43,-37.6
22.0,10.0,3.0,65.0,635.0,46.847,0.581,0.0,0.0,242.0,3196.2,28.505,0.41,18.236,0.56,-89.0,6.695,8.939,-86.0,31.196,0.517,-87.33,24.194,4.635,-87.0,20.912,11.204,-87.0,9.0,1.0,0.0,-86.0,49.0,229400.0,219300.0,10.0,1.0,14.774,0.084,93.2,0.0,-37.71,-38.0
35.0,16.0,40.0,9.0,1249.0,14.238,8.795,0.0,0.0,581.8,1077.2,27.927,0.353,13.561,1.918,-89.0,3.601,8.45,-89.0,18.575,3.689,-89.67,12.087,9.436,-89.4,14.146,11.122,-88.57,7.0,1.0,0.0,-90.0,49.0,172000.0,286700.0,11.0,1.0,5.024,6.138,550.6,0.0,-41.57,-41.8
24.0,5.0,17.0,55.0,324.0,17.981,9.582,2.2,1.223513708914966e-07,835.4,1385.8,14.795,3.77,23.127,0.296,-93.0,36.851,0.433,-93.0,18.634,4.549,-93.0,25.314,3.68,-93.0,24.43,5.354,-92.86,9.0,400.0,0.0,-92.0,41.0,96100.0,86700.0,8.0,400.0,0.21,6.856,565.8,0.0,-54.0,-54.9
85.0,13.0,0.0,4.0,1135.0,0.129,9.837,0.0,0.0,817.5,62.167,0.094,13.703,0.049,13.535,-92.0,0.116,14.019,-92.0,0.091,12.358,-91.33,0.085,13.82,-91.6,0.909,12.096,-91.57,9.0,1600.0,2.0,-91.0,59.0,216600.0,1000.0,0.0,0.0,0.141,10.26,810.2,0.0,-30.43,-30.4
66.0,18.0,1.0,15.0,1033.0,2.496,9.003,0.0,0.0,229.4,254.8,0.233,16.456,5.29,13.356,-85.0,12.929,0.162,-86.0,2.673,12.938,-84.67,5.494,9.395,-85.2,4.452,12.851,-85.14,10.0,1.0,0.0,-84.0,55.0,243700.0,286700.0,11.0,1.0,0.459,2.025,181.5,0.0,-29.14,-29.1
40.0,5.0,43.0,13.0,131.0,13.628,36.909,3.2,2.3481068388611683e-07,80.8,722.8,9.805,22.75,9.37,25.345,-84.0,7.795,9.121,-84.0,10.934,28.335,-83.67,9.683,19.574,-83.8,14.574,18.498,-83.71,7.0,1.0,0.0,-84.0,34.0,72200.0,43300.0,4.0,1.0,0.157,36.099,2910.6,3.2,-50.29,-50.2
50.0,23.0,11.0,16.0,690.0,16.51,7.863,0.0,0.0,752.4,761.6,25.613,0.138,17.925,0.114,-86.0,15.801,0.104,-86.0,20.016,2.705,-86.0,16.072,8.575,-85.8,11.506,18.711,-85.71,11.0,1.0,0.0,-86.0,56.0,270800.0,286700.0,11.0,1.0,16.507,7.892,720.8,0.0,-30.57,-30.5
81.0,11.0,6.0,4.0,1387.0,0.054,3.433,0.0,0.0,299.8,44.4,0.268,21.191,36.025,17.422,-93.0,44.609,27.903,-93.0,12.116,14.015,-92.0,20.917,19.134,-92.2,21.131,19.313,-92.0,11.0,800.0,0.0,-91.0,42.0,286700.0,1000.0,0.0,0.0,0.013,2.528,217.4,0.0,-48.0,-48.2
4.0,19.0,5.0,73.0,1222.0,48.513,3.989,0.0,0.0,308.6,3904.0,42.049,7.711,50.265,0.418,-84.0,34.498,13.286,-87.0,46.942,4.039,-83.33,42.501,7.571,-84.6,37.573,8.648,-84.57,7.0,1.0,0.0,-83.0,36.0,65000.0,72200.0,7.0,1.0,48.241,0.383,435.2,0.0,-47.0,-46.9
76.0,18.0,1.0,7.0,865.0,2.598,0.029,2.6,1.0007698229407237e-06,32.2,119.4,4.418,0.059,4.054,0.039,-87.0,0.833,11.175,-86.0,3.69,0.042,-87.33,2.395,5.245,-86.8,1.731,6.949,-86.86,11.0,1.0,0.0,-87.0,47.0,286700.0,243700.0,11.0,1.0,2.597,0.029,31.6,2.6,-39.86,-39.9
70.0,11.0,1.0,19.0,848.0,2.53,0.047,1.2,4.743083003952569e-07,12.4,214.6,1.024,5.787,0.049,9.806,-89.0,0.123,16.173,-90.0,1.201,5.213,-90.0,0.796,10.771,-89.6,3.117,10.197,-88.71,9.0,1.0,0.0,-90.0,57.0,216600.0,286700.0,11.0,1.0,0.277,0.009,9.2,1.0,-33.0,-32.9
88.0,8.0,1.0,4.0,903.0,22.079,0.115,16.4,7.427872639159382e-07,126.8,930.4,20.043,0.119,20.339,0.11,-92.0,12.671,0.072,-92.0,20.82,0.115,-91.67,15.032,1.518,-91.6,12.354,2.075,-91.29,9.0,1600.0,0.0,-92.0,58.0,216600.0,1000.0,0.0,0.0,22.307,0.116,129.2,16.4,-32.71,-33.0
3.0,8.0,77.0,12.0,489.0,5.456,32.747,1.4,2.565982404692082e-07,294.6,1072.4,0.191,22.11,0.328,28.051,-91.0,0.246,19.831,-90.0,1.992,27.636,-91.33,3.048,24.329,-90.8,10.722,18.459,-91.0,7.0,400.0,0.0,-92.0,29.0,72200.0,72200.0,7.0,400.0,0.854,29.56,2387.6,1.4,-63.86,-63.9
80.0,10.0,6.0,5.0,1143.0,0.046,7.86,0.0,0.0,654.6,29.8,0.054,7.99,0.067,11.015,-93.0,0.065,6.574,-92.0,0.056,8.955,-92.0,0.064,10.929,-92.2,0.072,11.418,-92.14,9.0,800.0,0.0,-91.0,60.0,229400.0,1000.0,0.0,0.0,0.046,7.937,660.8,0.0,-30.71,-31.4
62.0,12.0,1.0,26.0,1490.0,8.832,0.074,0.0,0.0,78.0,397.4,17.329,0.111,10.452,0.075,-90.0,0.064,2.393,-92.0,12.204,0.087,-91.0,7.767,1.286,-91.4,7.304,0.937,-91.86,9.0,800.0,0.0,-92.0,30.0,229400.0,195000.0,8.0,1600.0,12.274,0.086,91.8,2.4,-62.0,-62.0
52.0,12.0,26.0,10.0,728.0,1.795,31.243,0.0,0.0,2629.6,428.8,3.739,13.684,7.581,7.548,-86.0,6.87,18.551,-87.0,4.372,17.492,-85.67,5.338,18.699,-86.0,13.661,16.691,-86.71,9.0,1.0,0.0,-85.0,35.0,96100.0,96100.0,9.0,1.0,0.227,8.354,690.8,0.0,-50.0,-49.3
75.0,11.0,2.0,13.0,218.0,0.977,16.605,0.0,0.0,1335.0,305.6,0.295,9.793,2.152,20.758,-94.0,8.839,16.088,-95.0,1.141,15.719,-92.67,4.513,18.433,-93.8,7.817,20.527,-94.43,11.0,1.0,0.0,-91.0,44.0,286700.0,1000.0,0.0,0.0,0.022,7.403,622.0,0.0,-46.0,-46.8
3.0,10.0,49.0,39.0,364.0,67.961,31.668,0.0,0.0,305.8,3469.2,7.106,70.051,2.338,61.948,-87.0,73.795,22.699,-87.0,25.802,54.556,-87.0,47.937,42.224,-87.2,61.842,32.11,-87.29,11.0,1.0,0.0,-87.0,39.0,286700.0,97400.0,4.0,1.0,66.834,0.277,295.6,0.0,-48.43,-48.5
85.0,7.0,1.0,8.0,1108.0,4.876,0.05,0.6,1.2305168170631665e-07,56.0,215.4,13.909,0.09,25.515,0.137,-93.0,12.131,3.793,-92.0,14.767,0.092,-92.67,11.296,2.298,-92.6,11.711,2.54,-92.57,9.0,800.0,0.0,-92.0,30.0,229400.0,206500.0,8.0,800.0,4.894,0.05,55.8,0.0,-62.0,-61.9
50.0,11.0,23.0,17.0,562.0,6.13,45.386,0.0,0.0,3016.8,694.2,0.507,58.556,36.133,23.152,-94.0,55.655,1.334,-94.0,14.257,42.365,-95.0,23.099,33.847,-94.8,17.416,37.405,-94.86,11.0,1.0,0.0,-95.0,50.0,286700.0,286700.0,11.0,1.0,3.058,4.572,413.2,0.0,-45.0,-45.0
25.0,29.0,39.0,6.0,554.0,4.594,16.876,0.0,0.0,1004.6,562.6,9.314,4.053,7.555,4.318,-92.0,8.865,0.16,-90.0,7.154,8.416,-91.0,8.744,6.667,-90.4,10.187,9.719,-90.71,7.0,1.0,0.0,-89.0,45.0,72200.0,72200.0,7.0,1.0,4.147,4.93,466.0,0.0,-44.57,-44.7
58.0,8.0,29.0,7.0,220.0,0.189,20.343,0.0,0.0,619.8,149.4,7.656,16.583,13.473,7.45,-84.0,9.949,12.003,-85.0,7.106,14.792,-84.67,8.159,12.74,-84.8,11.421,10.055,-84.86,9.0,1.0,0.0,-86.0,53.0,216600.0,1000.0,0.0,0.0,0.084,7.212,597.6,0.0,-33.71,-33.8
